Reference,Quantity,Value,Description,Manufacturer,Part Number,Supplier,Supplier P/N,Unit Price,Extended Price
C14,1,4.7nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813472104,Mouser,594-MKT1813472104,$0.50,$0.50
C15,1,4.7nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813472104,Mouser,594-MKT1813472104,$0.50,$0.50
C16,1,3.3nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813332104,Mouser,594-MKT1813332104,$0.50,$0.50
C17,1,1nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813102104,Mouser,594-MKT1813102104,$0.50,$0.50
C2a2,1,470pF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813471104,Mouser,594-MKT1813471104,$0.50,$0.50
C29,1,15nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813153104,Mouser,594-MKT1813153104,$0.50,$0.50
C32,1,10nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813103104,Mouser,594-MKT1813103104,$0.50,$0.50
C33,1,2.2nF,"Film capacitor, 5%, 100V, 5.08mm pitch",Vishay,MKT1813222104,Mouser,594-MKT1813222104,$0.50,$0.50
R3,1,4.7kΩ,"Metal film resistor, 1/4W, 1%",Vishay,MRS25000C4701FCT00,Mouser,594-MRS25C4701FCT00,$0.20,$0.20
J_IN,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_OUT,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_BOOST_SEL_SND,1,6-pos,"Screw terminal, 6-position, 5.08mm pitch",Phoenix Contact,1757025,Mouser,651-1757025,$1.50,$1.50
J_BOOST_SEL_RET,1,6-pos,"Screw terminal, 6-position, 5.08mm pitch",Phoenix Contact,1757025,Mouser,651-1757025,$1.50,$1.50
J_BOOST_LVL,1,3-pos,"Screw terminal, 3-position, 5.08mm pitch",Phoenix Contact,1757022,Mouser,651-1757022,$1.00,$1.00
J_BOOST_L_SND,1,3-pos,"Screw terminal, 3-position, 5.08mm pitch",Phoenix Contact,1757022,Mouser,651-1757022,$1.00,$1.00
J_BOOST_Q,1,3-pos,"Screw terminal, 3-position, 5.08mm pitch",Phoenix Contact,1757022,Mouser,651-1757022,$1.00,$1.00
J_IND_3KHZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_IND_4KHZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_IND_5KHZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_IND_8KHZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_IND_10KHZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_IND_12KHZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_IND_16KHZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
J_GND,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch",Phoenix Contact,1757019,Mouser,651-1757019,$0.75,$0.75
PCB,1,N/A,"PCB, 2-layer, custom size",TBD,TBD,TBD,TBD,$10.00,$10.00
,,,,,,,Total:,$29.20
