Reference,Quantity,Value,Description,Manufacturer,Part Number,Supplier,Supplier P/N,Price (1),Price (10),Price (100),Notes
C18,1,330nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813334104,Mouser,594-MKT1813334104,$0.68,$0.61,$0.55,Audio grade film cap
C19,1,220nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813224104,Mouser,594-MKT1813224104,$0.68,$0.61,$0.55,Audio grade film cap
C20,1,120nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813124104,Mouser,594-MKT1813124104,$0.68,$0.61,$0.55,Audio grade film cap
C21,1,68nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813683104,Mouser,594-MKT1813683104,$0.68,$0.61,$0.55,Audio grade film cap
C22,1,47nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813473104,Mouser,594-MKT1813473104,$0.58,$0.52,$0.47,Audio grade film cap
C25,1,47nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813473104,Mouser,594-MKT1813473104,$0.58,$0.52,$0.47,Audio grade film cap
C26,1,47nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813473104,Mouser,594-MKT1813473104,$0.58,$0.52,$0.47,Audio grade film cap
C27,1,22nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813223104,Mouser,594-MKT1813223104,$0.58,$0.52,$0.47,Audio grade film cap
C28,1,22nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813223104,Mouser,594-MKT1813223104,$0.58,$0.52,$0.47,Audio grade film cap
C30,1,33nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813333104,Mouser,594-MKT1813333104,$0.58,$0.52,$0.47,Audio grade film cap
C31,1,10nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813103104,Mouser,594-MKT1813103104,$0.58,$0.52,$0.47,Audio grade film cap
R1,1,430Ω,"Metal film resistor, 1/4W (0.6W), 1%, 50ppm",Vishay,MRS25000C4300FCT00,Mouser,594-MRS25C4300FCT00,$0.24,$0.22,$0.20,Low noise metal film
J_IN,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,COMBICON MSTB series
J_OUT,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,COMBICON MSTB series
J_CUT_SEL_SND,1,6-pos,"Screw terminal, 6-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757025,Mouser,651-1757025,$1.89,$1.70,$1.53,COMBICON MSTB series
J_CUT_SEL_RET,1,6-pos,"Screw terminal, 6-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757025,Mouser,651-1757025,$1.89,$1.70,$1.53,COMBICON MSTB series
J_CUT_LVL,1,3-pos,"Screw terminal, 3-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757022,Mouser,651-1757022,$1.15,$1.04,$0.93,COMBICON MSTB series
J_GND,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,COMBICON MSTB series
PCB,1,N/A,"PCB, 2-layer FR4, ~90x70mm estimated",Various,Custom,PCB Vendor,Custom,$8.00,$5.50,$3.50,Price for prototype quantities

,,,,,,Component Subtotal:,$13.87,$12.51,$11.26,
,,,,,,PCB:,$8.00,$5.50,$3.50,
,,,,,,Module Total:,$21.87,$18.01,$14.76,Per module at quantity shown

Alternative Suppliers:
R1,1,430Ω,"Metal film resistor, 1/4W, 1%",Vishay,MRS25000C4300FCT00,Digikey,MRS25000C4300FCT00-ND,$0.24,$0.22,$0.20,Same part via Digikey
C18,1,330nF,"Film capacitor, 5%, 100V",Vishay,MKT1813334104,Digikey,1938-MKT1813334104-ND,$0.68,$0.61,$0.55,Same part via Digikey
