Reference,Quantity,Value,Description,Manufacturer,Part Number,Supplier,Supplier P/N,Price (1),Price (10),Price (100),Notes
C1,1,18nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813183104,Mouser,594-MKT1813183104,$0.58,$0.52,$0.47,Audio grade film cap
C2,1,10nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813103104,Mouser,594-MKT1813103104,$0.58,$0.52,$0.47,Audio grade film cap
C3,1,4.7nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813472104,Mouser,594-MKT1813472104,$0.58,$0.52,$0.47,Audio grade film cap
C4,1,3.3nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813332104,Mouser,594-MKT1813332104,$0.58,$0.52,$0.47,Audio grade film cap
C5,1,2.2nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813222104,Mouser,594-MKT1813222104,$0.58,$0.52,$0.47,Audio grade film cap
C4a2,1,1nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813102104,Mouser,594-MKT1813102104,$0.58,$0.52,$0.47,Audio grade film cap
C5a2,1,1.5nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813152104,Mouser,594-MKT1813152104,$0.58,$0.52,$0.47,Audio grade film cap
C6,1,1.8nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813182104,Mouser,594-MKT1813182104,$0.58,$0.52,$0.47,Audio grade film cap
C7,1,1nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813102104,Mouser,594-MKT1813102104,$0.58,$0.52,$0.47,Audio grade film cap
C34,1,1nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813102104,Mouser,594-MKT1813102104,$0.58,$0.52,$0.47,Audio grade film cap
C35,1,1nF,"Film capacitor, 5%, 100V, 5.08mm pitch, MKT polyester",Vishay,MKT1813102104,Mouser,594-MKT1813102104,$0.58,$0.52,$0.47,Audio grade film cap
R2,1,56kΩ,"Metal film resistor, 1/4W (0.6W), 1%, 50ppm",Vishay,MRS25000C5602FCT00,Mouser,594-MRS25C5602FCT00,$0.24,$0.22,$0.20,Low noise metal film
J_IN,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,COMBICON MSTB series
J_OUT,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,COMBICON MSTB series
J_BOOST_SEL_SND,1,6-pos,"Screw terminal, 6-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757025,Mouser,651-1757025,$1.89,$1.70,$1.53,COMBICON MSTB series
J_BOOST_SEL_RET,1,6-pos,"Screw terminal, 6-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757025,Mouser,651-1757025,$1.89,$1.70,$1.53,COMBICON MSTB series
J_CUT_SEL_SND,1,3-pos,"Screw terminal, 3-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757022,Mouser,651-1757022,$1.15,$1.04,$0.93,COMBICON MSTB series
J_BOOST_LVL,1,3-pos,"Screw terminal, 3-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757022,Mouser,651-1757022,$1.15,$1.04,$0.93,COMBICON MSTB series
J_IND_20HZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,For external inductor
J_IND_30HZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,For external inductor
J_IND_60HZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,For external inductor
J_IND_100HZ,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,For external inductor
J_GND,1,2-pos,"Screw terminal, 2-position, 5.08mm pitch, 12A, 320V",Phoenix Contact,1757019,Mouser,651-1757019,$0.89,$0.80,$0.72,COMBICON MSTB series
PCB,1,N/A,"PCB, 2-layer FR4, ~100x80mm estimated",Various,Custom,PCB Vendor,Custom,$8.00,$5.50,$3.50,Price for prototype quantities

